body,tags
"<p>If two graphs are isomorphic, and one has a simple circuit of a particular length, must the other graph also have a circuit of the same length?</p>

<p>Do they also have to have the same number of such circuits? </p>

<p>In the book that I use it is claimed that the following two graphs are isomorphic:</p>

<p><img src=""http://i.stack.imgur.com/MoFPc.png"" alt=""enter image description here""></p>

<p>Graph G has two circuits of length 5, but no circuits of length 4. Graph H has one circuit of length 5 and one circuit of length 4. Doesn't this mean that they are not isomorphic?</p>

<p>Edit: The book shows their isomorphism with the function f, where f(u1)=v6, f(u2)=v3, f(u3)=v4, f(u4)=v5, f(u5)=v1, f(u6)=v2. Doesn't this prove that they are isomorphic?</p>
","<discrete-mathematics><graph-theory><graph-isomorphism>"
"<p>Is there a natural to other than 0 such that in the diagram of Hasse of natural with divisibility there is a natural between a and 0?</p>
","<elementary-number-theory><graph-theory>"
"<p>I'm looking for a way to generate random connected directed acyclic graphs, where I can specify the number of vertices that have no outgoing edges (leaf vertices).</p>

<p>Anyone ever seen such a thing, or know how to generate such graphs?</p>

<p>Thanks.</p>
","<graph-theory>"
"<p>Let $d_1$, $d_2$, ..., $d_n$ be positive integers. Let $B$ be the $n \times n$ matrix
$$\begin{pmatrix}
d_1 &amp; 1 &amp; 1 &amp; \cdots &amp; 1 \\
1 &amp; d_2 &amp; 1 &amp; \cdots &amp; 1 \\
1 &amp; 1 &amp; d_3 &amp; \cdots &amp; 1 \\
\vdots &amp; \vdots &amp; \vdots &amp; \ddots &amp; \vdots \\
1 &amp; 1 &amp; 1 &amp; \cdots &amp; d_n \end{pmatrix}.$$
When does $B$ have a square root in $\mathrm{Mat}_n(\mathbb{Z})$?</p>

<p>Motivation: The <a href=""http://en.wikipedia.org/wiki/Friendship_graph"" rel=""nofollow"">Friendship Theorem</a> states that the only graph in which every pair of vertices is joined by a path of length $2$ is the ""Friendship Graph"", which you can see at the linked article. If $A$ is the adjacency matrix of such a graph, with degree sequence $(d_1, d_2, \ldots, d_n)$, then $A^2=B$. So this contributes the solution $(d_1, d_2, \ldots, d_n) = (2,2,2,\ldots,2,2m)$, with $n=2m+1$.</p>

<p>I was preparing notes on the friendship theorem and got distracted by trying to figure out when this matrix has an integer square root at all. It seemed like it might make a nice challenge for here.</p>
","<linear-algebra><number-theory><graph-theory>"
"<p>I am having trouble understanding and producing integer linear programming formulations for combinatorial optimisation problems.</p>

<p>I can understand basic ones like the knapsack problem:</p>

<p>$min \quad \sum_{i \in I} v_i x_i$<br>
$s.t.$<br>
$\qquad \sum_{i \in I} w_i x_i \leq K$<br>
$\qquad x_i \in \{0, 1\} \qquad (i \in I)$</p>

<p>however when it comes to something like this formulation for the steiner minimal tree problem:</p>

<p>$min \quad \sum_{[i,j]\in E} d_{ij}$<br>
$s.t.$<br>
$\qquad d_{ij} \leq \| a^i-x^j\| - M(1-y_{ij}), \quad [i,j] \in E_1,$<br>
$\qquad d_{ij} \leq \| x^i-x^j\| - M(1-y_{ij}), \quad [i,j] \in E_2,$<br>
$\qquad d_{ij} \leq 0, \hspace{105pt}  [i,j] \in E_3,$<br>
$\qquad \sum_{j\in S} y_{ij} = 1, \hspace{82pt} i \in P,$<br>
$\qquad \sum_{i &lt; j,i \in S} y_{ij} = 1, \hspace{68pt} j \in S - \{p+1\},$<br>
$\qquad y_{ij} \in \{0,1\}, \hspace{87pt} [i,j] \in E,$<br>
$\qquad d_{ij} \in \mathbb{R}, \hspace{104pt} [i,j] \in E,$<br>
$\qquad x^i \in \mathbb{R}, \hspace{105pt} i \in S.$  </p>

<p>I have trouble working out what each of the constraints represent.</p>

<p>I am not asking for someone to explicitly explain that particular problem (although that would be a good help) I am more asking for advice on good ways to increase my understanding ILP formulations for combinatorial optimisation problems - especially for graph theory related problems.</p>

<p>Are there any good resources that people could recommend that explain the basics well with some good worked examples?</p>

<p>I'm sure I will get it eventually, it feels like the sort of thing that takes a while to understand and then it just ""clicks"" all of a sudden; I just need some help getting it to ""click""!</p>

<p>Any help would be greatly appreciated.</p>
","<combinatorics><graph-theory><integer-programming>"
"<p>How many paths <em>starting from a given node</em> touch each node a given number of times?</p>

<p>We have a complete graph with vertices $1,2,3…j$. We want to know the number of paths of length $N$, starting from vertex $1$, such that vertex $i$ appears $k_i$ times for $1≤i≤j$. $N$ is equal to the sum of the $k_i$'s.</p>

<p>For the case with arbitrary initial vertex, the answer has been provided elsewhere on this forum (see <a href=""http://math.stackexchange.com/questions/129451/find-the-number-of-arrangements-of-k-mbox-1s-k-mbox-2s-cdots/129802#129802"">Find the number of arrangements of $k \mbox{  }1&#39;$s, $k \mbox{  }2&#39;$s, $\cdots, k \mbox{  }n&#39;$s - total $kn$ cards.</a>) </p>
","<combinatorics><graph-theory>"
"<p><em><a href=""http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.32.4863"" rel=""nofollow"">Cai-Furer-Immerman </a> showed that the W-L(Weisfeiler-Lehman )
hierarchy cannot distinguish general graphs except at linear dimension.</em></p>

<p>Even besides CFI's result, there is good reason to believe that purely
combinatorial methods cannot work for general graphs. Even for the
""bounded parameter"" families for which we have polynomial-time
algorithms, the group-theory method is generally required. </p>

<p>Furthermore,
the ""algebraic structure"" of the GI problem seems essential to its
potential tractability, since every generalization of GI that destroys
the algebraic structure is NP-complete.</p>

<p><strong>But I can not find any error in <a href=""https://www.researchgate.net/publication/296704876_An_Ofracnlog_2n2log_2n2_Graph_Isomorphism_Algorithm_for_a_Restricted_Class_of_Graph"" rel=""nofollow"">this quasi-polynomial claim</a>, which proposition is wrong?</strong></p>

<p>The algorithm does not depend on W-L method entirely though .</p>

<p>This post is motivated by <a href=""http://cstheory.stackexchange.com/questions/32237/is-anyone-aware-of-a-counter-example-to-the-dharwadker-tevet-graph-isomorphism-a"">this query</a> .</p>

<p>Link of the claim :<a href=""https://www.researchgate.net/publication/296704876_An_Ofracnlog_2n2log_2n2_Graph_Isomorphism_Algorithm_for_a_Restricted_Class_of_Graph"" rel=""nofollow"">'Quasi polynomial claim for a restricted class Graph Isomorphism'</a></p>
","<graph-theory><proof-verification><algorithms><graph-isomorphism>"
"<p>suppose that $G$,$H$,$K$ are connected graphs with at least two vertices,prove that the only solution of the equation $L(G)=H \square K$ is $K=K_n$ ,$H=K_m$ and $G=K_{m,n}$.</p>

<p>because the eigenvalue of any line graph $L(G)$ is not fewer than -2 (as a theorem),if we suppose that $K$ and $H$ will be some thing else,some how I must make a contradiction. but I can't make it.</p>

<p>I don't what to do,any hint or guidance me to be in right way will be great ,thanks.</p>
","<graph-theory><algebraic-graph-theory>"
"<p>So while going through the <a href=""https://www.dropbox.com/s/428pyq6lek1tfax/WeightedGraphMatchingApproach.pdf?dl=0"" rel=""nofollow"">paper</a> H. A. Almohamad and S. O. Duffuaa: <em><a href=""https://www.google.com/search?q=%22linear%20programming%20approach%22%20%22weighted%20graph%20matching%22"" rel=""nofollow"">A Linear Programming Approach for the Weighted Graph Matching Problem</a></em>, <a href=""http://dx.doi.org/10.1109/34.211474"" rel=""nofollow"">DOI:10.1109/34.211474</a>. I came across the equation
<a href=""http://i.stack.imgur.com/N7LZX.png"" rel=""nofollow"">Equation (7) being transformed to Equation (10).</a> I don't seem to know how they achieved that and what it means.</p>

<p>$$R=A_GP-PA_H \tag{7}$$</p>

<p>$$VEC(R)=A_{GH} VEC(P) \tag{10}$$</p>

<p></p>

<p>P- is an orthogonal matrix $n \times n$
<br/>A<sub>G</sub> and A<sub>H</sub> are Adjacency matrices</p>
","<matrices><graph-theory>"
"<p>I've got this problem on my Graph algorithms exam and I still can't solve it!Here is the problem:
At first there are 100 people sitting at a round table and neither one is  enemies with their neighbor. Than first night comes and each person becomes an enemy with one of his neighbor.How many nights have to pass so that there is no more way that one can be sat down so one doesn't sit beside his neighbor?</p>
","<graph-theory><algorithms><puzzle>"
"<p>If we use the standard definition of a path in a graph, is it possible that there exists an infinite path in a finite graph?</p>
","<graph-theory>"
"<p>I've read an article about a comparison between human brain and artificial neural networks. It's said that human brain contains $\approx 10^{11}$ neurons and each neuron is connected to $\approx 10^4$ others! Is it possible? What kind of graph would it be?</p>
","<graph-theory><biology><network>"
"<p>I feel like it is, but couldn't find anything online to support it - suppose the set A={a,b,c} and the relation set R={(a,b),(b,c),(c,a)}, would the transitive closure be reflexive (ie contain (a,a), (b,b) and (c,c)) since you can go from a back to a going all the way around?</p>

<p>Thanks in advance.</p>
","<graph-theory>"
"<p>If G is a simple graph containing exactly two components H and H', show that $$|E(G)| \le \frac{(|V(G)|-1)(|V(G)|-2)}{2}$$</p>

<p>Here is my (incomplete) proof that I need help with:<br>
 1. Since H and H' are components of G, $E(H) \cap E(H') = \emptyset$ and $V(H) \cap V(H') = \emptyset$.<br>
 2. Therefore $|E(G)| = |E(H)| + |E(H')|$ and $|V(G)| = |V(H)| + |V(H')|$.<br>
 3. Suppose H and H' are complete subgraphs. Then $|E(H)| = C(|V(H)|, 2) = \frac{(|V(H)|)(|V(H)|-1)}{2}$.<br>
4. Similarly, $|E(H')| = \frac{(|V(H')|)(|V(H')|-1)}{2}$.<br>
5. Let $|V(H)| = a$ and $|V(H')| = b$. Then, $|E(H)| = \frac{a(a-1)}{2}$ and $|E(H')| = \frac{b(b-1)}{2}$ and $|V(G)| = a + b$.<br>
6. $Max |E(G)| = |E(H)| + |E(H')| = \frac{a(a-1) + b(b-1)}{2}$.<br>
7. Therefore, $|E(G)| \le \frac{a(a-1) + b(b-1)}{2}$.<br>
8. ...</p>

<p>How do I show that $\frac{a(a-1) + b(b-1)}{2} \le \frac{(a+b-1)(a+b-2)}{2}$ for all $a, b \ge 1$? If I can do that, I can show that $|E(G)| \le \frac{(a+b-1)(a+b-2)}{2}$ and thus $|E(G)| \le \frac{(|V(G)|-1)(|V(G)|-2)}{2}$.</p>

<p>EDIT: Is my approach correct? I am also open to any alternative methods of proof for this question. </p>
","<inequality><graph-theory>"
"<p>Find a connected graph whose automorphism group has size 3.</p>

<p>Note: I know such graph must be non-simple.</p>
","<graph-theory>"
"<p>Let p1, p2, . . . , pn be n points in the plane such that the distance between any two points is
at least one. Let G = (V, E) be the graph such that V = {p1, p2, . . . , pn} and E = {pipj
|
distance between pi and pj
is exactly one}. Show that ∆(G) = 6.</p>
","<combinatorics><graph-theory>"
"<p>What is the method of proof to show that a graph has a certain topological minor? I am in a rigorous second discrete math class where we were given this question:</p>

<p><strong>Prove or disprove: If G is bipartite and does not have K3,3 as
a topological minor, then G is planar.</strong></p>

<p>My idea was to show that G does not have K5 as a topological minor, then invoke Kuratowski's Theorem. The problem was I could not 100% think of a way to show that G has the K5 topological minor since we never went over a way of proof in lecture. Any help would be great!</p>
","<graph-theory>"
"<p>How many induced graphs has a graph with $n$ vertices?</p>

<p>I think that there are $2^n=\sum_{k=0}^n \binom{n}{k}$.Is this correct?</p>
","<graph-theory>"
"<p>Arrange $2^{n-1}-1$ zeroes and $2^{n-1}$ ones in a balanced full binary tree of depth $n$. If we want the number of edges that connect the same (and respectively different) digits are the same, then one claims that the root of this tree has to be a one. Why is that?</p>

<p>For example, if $n=2$, then we need to arrange 1 zero and 2 ones. One arrangement that makes the number of edges that connect the same digits (which in this case is only one: the edge with a ""+"" who connects 2 ones,) and the number of edges that connect two different digits (which in this case is also one: the edge with a ""-"") are the same. Note that the root of this tree is unexceptionally 1.</p>

<pre><code>      1
    /   \
 + /     \ -
  /       \
 1         0
</code></pre>

<p>And here is a case where $n=3$.</p>

<pre><code>          1
        /   \
     + /     \ -
      /       \
     1         0
  + / \ -   + / \ -
   /   \     /   \
  1     0   0     1
</code></pre>

<p>Again, we see that the root is a one. If we change the root to a zero, however, then we can never find an arrangement that makes the number of ""+"" edges equals to the number of ""-"" edges. Why is that?</p>
","<graph-theory>"
"<p>I am trying to show that a graph is planar. Possibly the simplest method I have found is to show the graph can be drawn on a page (i.e. in the plane) without any edges crossing. So, can I assume that if I am given a graph that has edges crossing I can simple move the vertices around to obtain a version such that the edges are not crossing (if such an arrangement exists)?</p>

<p>It may be better to show an example of what I am thinking. Perhaps someone can confirm that what I have done is permutable. Refer to the figure below were I start with the left graph and end with the right graph.</p>

<p><a href=""http://i.stack.imgur.com/EnE2d.jpg"" rel=""nofollow""><img src=""http://i.stack.imgur.com/EnE2d.jpg"" alt=""enter image description here""></a></p>

<p>Alternatively, it seems as though one can show a graph is planar if it can be embedded in a disk. I believe the following figure shows such an embedding in a disk</p>

<p><a href=""http://i.stack.imgur.com/euukC.png"" rel=""nofollow""><img src=""http://i.stack.imgur.com/euukC.png"" alt=""enter image description here""></a></p>
","<general-topology><graph-theory>"
"<p>If I take a triangle-free graph, By <a href=""http://en.wikipedia.org/wiki/Gr%C3%B6tzsch%27s_theorem"" rel=""nofollow"">Grötzsch's theorem</a>, it should be 3-colorable, and I have already had a coloring. If I change the color of one vertex, and I want to check how many vertices (at least) do I need to change, and I cannot find an idea on writing an algorithm to find out. I know that by symmetry, I can exchange two colors, I will get a new coloring method, it gives an upper bound. But it cannot give me any idea about the algorithm. </p>

<p>Is there any hint or literature to help me? Thanks for your attention!</p>
","<graph-theory><algorithms>"
"<p>I have read proofs and descriptions stating that a planar connected graph have the Euler characteristic 2. I'm not sure if that statement is equivalent to ""a connected graph with the Euler characteristic 2 have a planar embedding""?</p>

<p>I'm studying a math course where I'm supposed to show that a certain graph have a planar embedding, and I'm wondering if I can show it by using the Euler characteristics.</p>
","<graph-theory><planar-graph>"
"<p>Consider a graph that we know is completely connected and has a Hamiltonian cycle. Can we say that it is two colorable because we visit each vertex once and alternate colors as we walk the cycle? Or is this there something that I'm overlooking?</p>
","<graph-theory>"
"<p>Suppose we have a finite simple graph $G$. Call $\mathcal O$ the set of graphs without isolated vertices up to isomorphism whose line graph is isomorphic to $G$. Can $\mathcal O$ contain more than one element?</p>
","<graph-theory>"
"<p>How to prove inductively the total number of paths from the root to all leaves in a given tree? </p>

<p>From what I understand, one should show how to find the number of paths to a specific leaf, then use induction to find the total number of paths to all leaves. However, I am not quite sure how to show the this step mathematically. </p>
","<discrete-mathematics><graph-theory><trees>"
"<p>From an array of u rows and v columns ,we can derive a directed graph G = (N,A), where each node i elementof(N) is a pair [h(i), k(i)] where h(i) indicates the row and k(i) indicates the column of the element represented by i. The number of nodes is n = uv. An arc (i,j) elementof(A) exists if k(j) = k(i)+1 and h(j) =h(i) + alpha, where alpha = −1; 0; 1 but the extreme cases in which h(i) = 1 or = u; the cost of arc (i, j) is set to the entry associated to the pair [h(i), k(i)], i.e. all the arcs leaving node i have the same cost, and it is the value at position [h(i), k(i)]. With this transformation the shortest path problem on the grid is mapped into a shortest path problem on a classical graph. By using this transformation, we can see that our problem has another special characteristic: the graph G is a stable acyclic sequential layered graph. </p>

<p>this is taken from Circular Shortest Path on Regular Grids by Changming Sun Stefano Pallottino</p>

<p>what is alpha here? how to represent the adjacency matrix of grid graph?</p>
","<graph-theory>"
"<p>Would you do it by showing that elementary matrix operations can be used to get from one matrix to the other? If not, how would you show that 2 adjacency matrices are isomorphic?</p>
","<discrete-mathematics><graph-theory><group-isomorphism><graph-isomorphism>"
"<p>I'm struggling with the following question:</p>

<blockquote>
  <p>Prove that every Eulerian graph of odd order has three vertices of the same degree.</p>
</blockquote>

<p>I'm not sure how to proceed with this. If someone could give me a boost it would be appreciated.</p>
","<graph-theory>"
"<p>I have been recently reading about Cayley graphs and character theory. It is evident that Cayley graphs are very useful tool in theoretical computer science. In physics, Cayley graphs seem do appear in the study of quantum walks. I wonder however, if they have been used anywhere else in physics, specially in the study of the spectral properties of physical systems. Any references will be helpful.</p>

<p>Thanks in advance.</p>
","<group-theory><graph-theory><geometric-group-theory><spectral-graph-theory><cayley-graphs>"
"<p>I have a research question that involves human subjects being sorted into groups before playing a social game. </p>

<p>Before sorting, each person decides on their preferred group size, from 1 to n; where n is the total number of players.</p>

<p>I want to be able to sort people into groups of their preferred size, allowing a given level of tolerance for being in a group size that differs from the preferred group size. </p>

<p>For example, in the simplest case we allow no tolerance.
Consider the set of group size preferences for a population of 25 players</p>

<blockquote>
  <p>G = [1 1 1 1 2 2 2 3 3 3 3 3 3 3 3 4 4 4 4 4 4 5 5 5 5].</p>
</blockquote>

<p>This will result in the following sorting:</p>

<blockquote>
  <p>Group a: [ 1 ]</p>
  
  <p>Group b: [ 1 ] </p>
  
  <p>Group c: [ 1 ]</p>
  
  <p>Group d: [ 1 ]</p>
  
  <p>Group e: [ 2 2 ]</p>
  
  <p>Group f: [ 3 3 3 ]</p>
  
  <p>Group g: [ 3 3 3 ]</p>
  
  <p>Group h: [ 4 4 4 4 ]</p>
  
  <p>and the group of remainders: [ 2 3 3 4 4 5 5 5 5 ].</p>
</blockquote>

<p>Note how group size equals group size preference and the remainders are all those individuals that could not be put into a group of preferred size.</p>

<p>I want to be able to extend this by allowing some level of tolerance in acceptable group size compared to the preference. For instance, an individual that prefers to be in a group of 3, with tolerance of 1, would be willing to be in any group of size 2-4, but would otherwise be a remainder. However, being in a group of preferred size should have more weight than being assigned to a different group.</p>

<p>Can this problem be solved to minimise:
a.) the number of individuals that are left as a remainder
b.) the number of people that are put into groups different to their preference
c.) the level of tolerance?</p>

<p>Even pointing to similar problems would be much appreciated. </p>

<p>Thank you for any assistance!</p>
","<graph-theory><optimization><computer-science><combinatorial-game-theory><algorithmic-game-theory>"
"<p>A non-closed path is chosen at random on the complete graph K9. All
paths are equally likely. What is the probability that the path contains
the edges {23} and {34} given that it is length 6? Given that it has
the edge {89}?</p>
","<probability><graph-theory>"
"<p>I need to prove that in a planar graph with more than two vertexes at least a vertex with a maximum grade of five exists.</p>

<p>I know that planar graphs fulfill the relation $\#E \le 3\#V-6$, and relation $\#E \le 2\#V-4$ if there is no subgraph that is isomorphic to $K_{3}$. $\#E$ being the number of edges and $\#V = n$ being the number of vertexes.</p>

<p>Based on the statement that says $\sum_{i=1}^{n}gr(v_{i}) = 2\#E$ I have come up that for complete graphs $K_{n}$ the next relation must be fulfilled: $$n^{2}-4n+6\le 0$$ But I can not figure how to prove what it is asked to prove </p>
","<graph-theory><planar-graph>"
"<p>All the citizens of a country,of which the alphabet has $10$ letters have as a name a word of length exactly $6$.
The number of the citizens is $10^6$ and all of them have different names.If $G$ is the graph with vertices the citizens and $2$ citizens are connected with an edge if and only if their names differ exactly at one position,which is the diameter of $G$ ? </p>
","<graph-theory>"
"<p>Hi I saw in an R forum the <a href=""https://stat.ethz.ch/pipermail/r-help/2011-February/268569.html"" rel=""nofollow"">answer</a>: </p>

<p>“If the graph has n nodes and is represented by an adjacency matrix, you can square the matrix (log_2 n)+1 times. Then you can multiply the matrix element-wise by its transpose. The positive entries in the 7th row will tell you all nodes sharing a cycle with node 7.  This assumes all edge weights are positive.""</p>

<p>I’m a PhD student working on my research and I need to check for cycles in a directed graph to make sure it is a DAG. The answer given is extremely useful but I need the theorem statement, or a reference. Does anyone has a book reference where this is stated or a paper?</p>

<p>Thanks!</p>

<p>Daniela.</p>

<p>PS Unfortunately the people from the R forum didn't let me to ask the question there</p>
","<graph-theory>"
"<p>Let $S_1$ and $S_2$ be two minimal separators of a graph $G$ such that $S_1\cap S_2 \neq \phi$. Then is it true that $S_1 \cap S_2$ is also a minimal seperator. </p>
","<graph-theory>"
"<p>So I was given this question that asks: Given a simple graph with $n = 4k + 2$ vertices. Can the vertices of
this graph have distinct degrees?</p>

<p>I was wondering how I would go about this. I am usually provided a graph as a visual but I am confused with this question</p>
","<combinatorics><discrete-mathematics><graph-theory>"
"<p>In advance I apologise for my lack of Mathematical knowledge and low quality question: I'm not trained as a mathematician, nor do I have a substantial knowledge of mathematical terminology. However, I'm eager to put my programming lines into a mathematical framework, so that's why I ended up here. </p>

<p>My problem is the following:
Consider a semi-random network of $N$ nodes $i$ and $M$ connections, the structure of the network does not really matter here. Now I have defined the degree $k$ of a node $i$ as
$$
    k_i=\sum\limits_j A_{ij}
$$
with $A_{ij}$ the adjacency matrix defining the connections between nodes in the network and summing over all nodes $N$.  </p>

<p>Now I want to define hubs in the network using a hub threshold $k_h$. I actually want to <em>count</em> the number of hubs in my network with respect to the total number of nodes $N$ (let's call this $H$), so far I've come up with this:
$$
H=\frac{1}{N}\sum\limits_i \sum\limits_{k_i&gt;k_h} i
$$
But I don't think this gives me the right answer, since say that node 10 and 11 are hub nodes, the answer would be $21/N$ instead of $2/N$. I feel like I'm very close, but I can't see it. How should I state it?</p>

<p>Many thanks!</p>
","<graph-theory><network>"
"<p>Let $X_1, \ldots, X_n$ be a collection of random variables. Consider the directed graph with vertex set $\{ 1, 2, \ldots, n \}$ where there is a directed edge $i \to j$ if $\mathbb{P}(X_i &gt; X_j) &gt; \frac{1}{2}$. </p>

<p><strong>Question 1:</strong> What directed graphs can arise in this way? Certainly they must be simple and have no loops. Is that the only restriction? Alternatively, $\mathbb{P}(X_i &gt; X_j) &gt; \frac{1}{2}$ defines an irreflexive antisymmetric relation on $\{ 1, 2, ... n \}$. Which such relations arise in this way? </p>

<p><strong>Question 2:</strong> Does the answer change if we require the $X_i$ to all be defined on a finite sample space? </p>

<p><strong>Question 3:</strong> What if we require the $X_i$ to be independent? </p>

<p>It is known (see <a href=""http://en.wikipedia.org/wiki/Nontransitive_dice"">nontransitive dice</a>) that this graph can have directed cycles even if the $X_i$ are independent; in particular, the corresponding relation need not be transitive. </p>
","<probability><graph-theory><dice>"
"<p>I have the following graph theory question that I am stuck on:</p>

<p>Prove or disprove:
For every graph G and every integer $r \geq \text{max} \{\text{deg}v: v \in V(G) \}$ , there is an r-regular graph H containing G as an induced subgraph. Thanks for any help.</p>
","<graph-theory>"
"<p>Can somebody explain why there cannot be any triangles or squares in a Moore graph with diameter 2? This was stated without proof in my class. </p>
","<graph-theory><algebraic-combinatorics>"
"<p>Like everybody on this website it seems, I have a traveling salesman problem. But the traveler wants to visit tunnels, so his exit points are not the entry points, he has to visit all of them, and his travel distance between tunnels has to be minimized. The tunnels are one way, he doesn't get to choose the travel direction.</p>

<p>Is there an academical name for this variant? some google keywords? </p>
","<graph-theory>"
